Date,Units_Sold
2022-09-06,62
2022-10-06,58
2022-11-05,58
2022-12-05,64
2023-01-04,73
2023-02-03,103
2023-03-05,64
2023-04-04,67
2023-05-04,62
2023-06-03,75
2023-07-03,66
2023-08-02,68
2023-09-01,75
2023-10-01,67
2023-10-31,66
2023-11-30,36
2023-12-30,59
2024-01-29,59
2024-02-28,67
2024-03-29,71
2024-04-28,57
2024-05-28,60
2024-06-27,54
2024-07-27,56
2024-08-26,59
2024-09-25,100
2024-10-25,51
2024-11-24,55
2024-12-24,62
2025-01-23,54
2025-02-22,63
2025-03-24,63
2025-04-23,60
2025-05-23,60
2025-06-22,66
2025-07-22,77
