Date,Units_Sold
2022-09-06,44
2022-10-06,55
2022-11-05,49
2022-12-05,53
2023-01-04,54
2023-02-03,87
2023-03-05,58
2023-04-04,69
2023-05-04,69
2023-06-03,72
2023-07-03,67
2023-08-02,58
2023-09-01,61
2023-10-01,66
2023-10-31,58
2023-11-30,35
2023-12-30,60
2024-01-29,54
2024-02-28,54
2024-03-29,58
2024-04-28,52
2024-05-28,50
2024-06-27,55
2024-07-27,57
2024-08-26,52
2024-09-25,84
2024-10-25,63
2024-11-24,57
2024-12-24,62
2025-01-23,53
2025-02-22,48
2025-03-24,55
2025-04-23,60
2025-05-23,64
2025-06-22,61
2025-07-22,64
