Date,Units_Sold
2022-09-06,46
2022-10-06,58
2022-11-05,58
2022-12-05,55
2023-01-04,60
2023-02-03,97
2023-03-05,57
2023-04-04,60
2023-05-04,57
2023-06-03,64
2023-07-03,62
2023-08-02,59
2023-09-01,59
2023-10-01,58
2023-10-31,69
2023-11-30,36
2023-12-30,51
2024-01-29,62
2024-02-28,59
2024-03-29,53
2024-04-28,50
2024-05-28,59
2024-06-27,56
2024-07-27,53
2024-08-26,44
2024-09-25,94
2024-10-25,50
2024-11-24,50
2024-12-24,49
2025-01-23,56
2025-02-22,60
2025-03-24,62
2025-04-23,58
2025-05-23,50
2025-06-22,67
2025-07-22,59
