quote,author
Without music, life would be a mistake.,Friedrich Nietzsche
Music expresses that which cannot be put into words.,Victor Hugo
Where words fail, music speaks.,Hans Christian Andersen
One good thing about music, when it hits you, you feel no pain.,Bob Marley
Music can change the world because it can change people.,Bono
After silence, that which comes nearest to expressing the inexpressible is music.,Aldous Huxley
Music is the shorthand of emotion.,Leo Tolstoy
Music is the strongest form of magic.,Marilyn Manson
To stop the flow of music would be like the stopping of time itself.,Aaron Copland
Music is the divine way to tell beautiful, poetic things to the heart.,Pablo Casals
The only truth is music.,Jack Kerouac
Music is the language of the spirit.,Kahlil Gibran
If music be the food of love, play on.,William Shakespeare
I can chase you, and I can catch you, but there is nothing I can do to make you mine.,Morrissey
People haven't always been there for me but music always has.,Taylor Swift
Music is a higher revelation than all wisdom and philosophy.,Ludwig van Beethoven
One good thing about music is when it hits you feel no pain.,Bob Marley
Life is one grand, sweet song, so start the music.,Ronald Reagan
Some people have lives; some people have music.,John Green
Music washes away from the soul the dust of everyday life.,Berthold Auerbach
Music is the strongest form of magic.,Marilyn Manson
Music should strike fire from the heart of man, and bring tears from the eyes of woman.,Ludwig van Beethoven
Music is well said to be the speech of angels.,Thomas Carlyle
How is it that music can, without words, evoke our laughter, our fears, our highest aspirations?,Jane Swan
Music is the moonlight in the gloomy night of life.,Jean Paul
Music acts like a magic key, to which the most tightly closed heart opens.,Maria von Trapp
Music in the soul can be heard by the universe.,Lao Tzu
Music is the literature of the heart; it commences where speech ends.,Alphonse de Lamartine
Music can name the unnameable and communicate the unknowable.,Leonard Bernstein
Music is the strongest form of magic.,Marilyn Manson
Music is the art which is most nigh to tears and memory.,Oscar Wilde
Music is the mediator between the spiritual and the sensual life.,Ludwig van Beethoven
Music is the wine that fills the cup of silence.,Robert Fripp
Music is love in search of a word.,Sydney Lanier
Where words leave off, music begins.,Heinrich Heine
Music gives a soul to the universe, wings to the mind, flight to the imagination.,Plato

